id,text
[000100 (1)],    To anes æceres bræde on wealstillinge & to þære wære gebirigeað XVI hida.
[000200 (2)],    Gif ælc hid byþ be anum men gemannod þonne mæg man gesettan ælce gyrde mid feower mannum.
[000300 (3)],    Þon gebyred to twentigan gyrdan on wealstillinge hundeahtatig hida & to þam furlange gebirgeað oþer healf hund hida & X hida be þam ilcan getæle þe ic her bebufan tealde.
[000400 (6)],    To twam furlangum gehyrað XX hida & þreo hund hida to þrim furlangum hundeahtatig hida & CCCC hida þonne gebyrigeað.
[000500 (8)],    To IIII furlangum XL hida & VI hund hida.
[000600 (9)],    To fif furlangum gebyreð ymbganges eahta hund hida on wealstillinge.
[000700 (10)],    To six furlangum gebyreð sixtig hida & nigan hund hida.
[000800 (11)],    To VII furlangum XX hida & XI hund hida.
[000900 (12)],    To eahta furlangum ymbeganges wealstillinge hundeahtatig hida & XII hund hida.
[001000 (13)],    To nigan furlangum XL hida & XIIII hund hida.
[001100 (14)],    To X furlangum gebyreþ XVI hund hida.
[001200 (15)],    To XI furlangum gebyreþ LX hida & XVII hund hida.
[001300 (15)],    To XII furlangum ymbeganges wealstillige gebyreð XX hida & nigantyn hund hida.
[001400 (17)],    Gif se ymbegang mara biþ þon mæg man eaþe þone ofereacan geþencan of þisse tale for þon ealning to anum furlange gebyreð sixtig manna & C þonne biþ ælc gyrd mid feower mannum geset.
